epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1913.76,1.34357,0.57872,2.04828,0.95618,0.93935,0.95688,0.66121,2.47171,0.82718,3.07178,0.00105638,0.00105638,0.00105638
76,1939.29,1.31257,0.55711,2.02499,0.95335,0.93929,0.95627,0.6457,2.49314,0.83313,3.07215,0.00104813,0.00104813,0.00104813
77,1964.79,1.32526,0.56967,2.01593,0.9708,0.92589,0.96357,0.65665,2.4311,0.84025,3.02121,0.00103987,0.00103987,0.00103987
78,1990.28,1.30759,0.5665,2.02863,0.9659,0.93354,0.96303,0.65828,2.49166,0.8585,3.08357,0.00103162,0.00103162,0.00103162
79,2015.82,1.32144,0.5745,2.03939,0.96639,0.92041,0.95567,0.6406,2.46062,0.86218,3.08071,0.00102337,0.00102337,0.00102337
80,2041.35,1.3157,0.5625,2.03244,0.95358,0.93633,0.96438,0.65412,2.51245,0.84669,3.1219,0.00101512,0.00101512,0.00101512
81,2066.86,1.30447,0.57009,2.04644,0.97084,0.92494,0.96023,0.62787,2.47705,0.90748,3.1229,0.00100687,0.00100687,0.00100687
82,2092.36,1.28673,0.55271,2.01667,0.97978,0.92253,0.96096,0.65116,2.50386,0.85194,3.12998,0.000998616,0.000998616,0.000998616
83,2117.86,1.27956,0.5511,2.00222,0.96534,0.94453,0.96617,0.65323,2.51146,0.81342,3.08726,0.000990365,0.000990365,0.000990365
84,2143.36,1.29748,0.54867,2.01363,0.96076,0.92839,0.95629,0.65567,2.49862,0.82932,3.04684,0.000982113,0.000982113,0.000982113
85,2168.67,1.277,0.55737,2.0132,0.97561,0.92289,0.96528,0.65677,2.47913,0.83007,3.11457,0.000973861,0.000973861,0.000973861
86,2194.19,1.28459,0.55507,2.01288,0.96212,0.92576,0.95994,0.63366,2.55512,0.85261,3.21107,0.00096561,0.00096561,0.00096561
87,2219.67,1.24782,0.54116,1.99219,0.9576,0.93366,0.96179,0.65135,2.52657,0.85297,3.11188,0.000957358,0.000957358,0.000957358
88,2245.22,1.26127,0.54584,2.01293,0.9502,0.92727,0.96364,0.65597,2.46296,0.84635,3.07222,0.000949106,0.000949106,0.000949106
89,2270.58,1.27394,0.53544,1.99895,0.96895,0.91691,0.95895,0.66052,2.46109,0.82532,3.08125,0.000940855,0.000940855,0.000940855
90,2295.85,1.2171,0.524,1.97013,0.96753,0.93694,0.96631,0.65355,2.46887,0.81127,3.11554,0.000932603,0.000932603,0.000932603
91,2321.35,1.24333,0.53361,2.00644,0.96992,0.9274,0.95718,0.64809,2.44535,0.82178,3.02328,0.000924352,0.000924352,0.000924352
92,2346.85,1.23151,0.53581,1.99856,0.9578,0.9366,0.95936,0.65133,2.46952,0.81966,3.09935,0.0009161,0.0009161,0.0009161
93,2372.28,1.20156,0.5155,1.99227,0.96118,0.92567,0.96249,0.65344,2.48104,0.82445,3.12161,0.000907848,0.000907848,0.000907848
94,2397.62,1.23111,0.52227,1.99173,0.95575,0.94283,0.96205,0.65954,2.48713,0.83843,3.14182,0.000899597,0.000899597,0.000899597
95,2423.05,1.23308,0.52839,1.98654,0.96916,0.92778,0.96748,0.64437,2.52073,0.86275,3.19614,0.000891345,0.000891345,0.000891345
96,2448.56,1.20266,0.52188,1.97597,0.97688,0.92632,0.96352,0.65623,2.47382,0.84477,3.0658,0.000883093,0.000883093,0.000883093
97,2474.02,1.19545,0.51593,1.98253,0.97386,0.93005,0.96533,0.65267,2.51581,0.86296,3.15078,0.000874842,0.000874842,0.000874842
98,2499.52,1.19162,0.52192,1.96497,0.96974,0.93112,0.96687,0.65725,2.51652,0.83098,3.22518,0.00086659,0.00086659,0.00086659
99,2525.03,1.17994,0.50828,1.95774,0.94499,0.92891,0.96249,0.65646,2.49895,0.85444,3.21327,0.000858338,0.000858338,0.000858338
100,2550.52,1.15299,0.49727,1.9489,0.96424,0.93318,0.96292,0.64804,2.49675,0.85175,3.19137,0.000850087,0.000850087,0.000850087
101,2576.01,1.16191,0.50892,1.95112,0.96055,0.93318,0.95961,0.64466,2.51156,0.85541,3.2034,0.000841835,0.000841835,0.000841835
